11:59:11,AM,CPU,%user,%nice,%system,%iowait,%steal,%idle
11:59:21,AM,all,19.48,0.00,10.58,1.48,0.00,68.46
11:59:31,AM,all,13.09,0.00,6.79,1.89,0.00,78.23
11:59:41,AM,all,14.76,0.00,7.91,1.76,0.00,75.57
11:59:51,AM,all,14.58,0.00,7.83,1.72,0.00,75.87
12:00:01,PM,all,15.82,0.00,8.57,1.60,0.00,74.02
12:00:11,PM,all,16.40,0.00,8.54,1.67,0.00,73.39
12:00:21,PM,all,17.37,0.00,9.02,1.58,0.00,72.03
12:00:31,PM,all,16.35,0.00,8.28,1.65,0.00,73.72
12:00:41,PM,all,17.71,0.00,9.15,1.53,0.00,71.61
12:00:51,PM,all,18.24,0.00,9.33,1.52,0.00,70.90
12:01:01,PM,all,18.36,0.00,9.51,1.50,0.00,70.63
12:01:11,PM,all,17.81,0.00,9.11,1.54,0.00,71.54
12:01:21,PM,all,18.21,0.00,9.24,1.49,0.00,71.06
12:01:31,PM,all,17.09,0.00,8.72,1.55,0.00,72.64
12:01:41,PM,all,17.00,0.00,8.78,1.56,0.00,72.66
12:01:51,PM,all,15.41,0.00,8.15,1.44,0.00,75.00
12:02:01,PM,all,17.40,0.00,8.99,1.48,0.00,72.13
12:02:11,PM,all,16.43,0.00,8.55,1.61,0.00,73.41
12:02:21,PM,all,16.38,0.00,7.95,1.62,0.00,74.04
12:02:31,PM,all,15.89,0.00,7.94,1.69,0.00,74.48
12:02:41,PM,all,16.39,0.00,8.28,1.62,0.00,73.71
12:02:51,PM,all,16.11,0.00,8.68,1.59,0.00,73.63
12:03:01,PM,all,16.35,0.00,8.35,1.57,0.00,73.73
12:03:11,PM,all,14.94,0.00,7.72,1.69,0.00,75.64
12:03:21,PM,all,14.38,0.00,7.26,1.73,0.00,76.62
12:03:31,PM,all,16.99,0.00,8.67,1.59,0.00,72.75
12:03:41,PM,all,14.96,0.00,7.79,1.73,0.00,75.52
12:03:51,PM,all,15.56,0.00,7.98,1.69,0.00,74.77
12:04:01,PM,all,15.54,0.00,8.08,1.69,0.00,74.69
12:04:11,PM,all,16.34,0.00,8.47,1.62,0.00,73.56
12:04:21,PM,all,17.67,0.00,9.05,1.53,0.00,71.75
12:04:31,PM,all,16.11,0.00,7.96,1.64,0.00,74.29
12:04:41,PM,all,18.12,0.00,9.22,1.47,0.00,71.19
12:04:51,PM,all,18.43,0.00,9.16,1.48,0.00,70.93
12:05:01,PM,all,18.00,0.00,8.93,1.52,0.00,71.55
12:05:11,PM,all,17.79,0.00,8.92,1.60,0.00,71.70
12:05:21,PM,all,17.78,0.00,8.80,1.55,0.00,71.87
12:05:31,PM,all,16.49,0.00,8.21,1.65,0.00,73.66
12:05:41,PM,all,16.91,0.00,8.85,1.63,0.00,72.61
12:05:51,PM,all,18.34,0.00,9.41,1.47,0.00,70.77
12:06:01,PM,all,17.66,0.00,9.28,1.54,0.00,71.52
12:06:11,PM,all,16.12,0.00,8.42,1.61,0.00,73.85
12:06:21,PM,all,16.91,0.00,8.36,1.62,0.00,73.11
12:06:31,PM,all,16.43,0.00,8.28,1.63,0.00,73.67
12:06:41,PM,all,15.68,0.00,7.97,1.68,0.00,74.67
12:06:51,PM,all,17.19,0.00,8.91,1.57,0.00,72.32
12:07:01,PM,all,16.42,0.00,8.48,1.60,0.00,73.50
12:07:11,PM,all,18.05,0.00,8.99,1.53,0.00,71.43
12:07:21,PM,all,16.59,0.00,8.68,1.60,0.00,73.13
12:07:31,PM,all,18.01,0.00,9.27,1.51,0.00,71.20
12:07:41,PM,all,18.74,0.00,9.58,1.42,0.00,70.27
12:07:51,PM,all,18.65,0.00,9.48,1.47,0.00,70.40
12:08:01,PM,all,18.20,0.00,9.62,1.50,0.00,70.68
12:08:11,PM,all,16.48,0.00,7.59,1.71,0.00,74.22
12:08:21,PM,all,18.14,0.00,9.30,1.48,0.00,71.08
12:08:31,PM,all,18.17,0.00,9.15,1.53,0.00,71.15
12:08:41,PM,all,19.07,0.00,9.69,1.50,0.00,69.73
12:08:51,PM,all,19.13,0.00,9.45,1.49,0.00,69.93
12:09:01,PM,all,18.95,0.00,9.60,1.50,0.00,69.96
12:09:11,PM,all,16.47,0.00,8.33,1.34,0.00,73.86
12:09:21,PM,all,0.00,0.00,0.01,0.00,0.00,99.99
12:09:31,PM,all,0.00,0.00,0.00,0.00,0.00,100.00
